,type,name,code,district,branch_name,date,ward,local_level,Name_Of_Palika_English,X,Y
0,Commercial Bank (Class A),Nabil Bank Limited,11003001,Kathmandu,New Road Branch,1986-04-11,20,kathmandu,kathmandu,85.312068,27.698732
1,Commercial Bank (Class A),Nabil Bank Limited,11003002,Kathmandu,Jorpati Branch,1985-12-27,6,kathmandu,kathmandu,85.312068,27.698732
2,Commercial Bank (Class A),Nabil Bank Limited,11003003,Parsa,Birgunj Branch,1988-11-13,13,birgunj,birgunj,84.87029,27.01207
3,Commercial Bank (Class A),Nabil Bank Limited,11003004,Parsa,Power House Chowk Branch,1988-07-12,15,birgunj,birgunj,84.87029,27.01207
4,Commercial Bank (Class A),Nabil Bank Limited,11003005,Morang,Biratnagar Branch,1992-01-10,7,biratnagar,biratnagar,87.2823671,26.4653491
5,Commercial Bank (Class A),Nabil Bank Limited,11003006,Sunsari,Itahari Branch,2000-09-29,1,itahari,itahari,87.27703,26.66351
6,Commercial Bank (Class A),Nabil Bank Limited,11003007,Rupandehi,Butwal Branch,1995-11-17,6,butwal,butwal,83.464738,27.70825
7,Commercial Bank (Class A),Nabil Bank Limited,11003008,Rupandehi,Bhalwadi Branch,1996-07-16,3,tilottama,tilottama,83.4682608,27.6284907
8,Commercial Bank (Class A),Nabil Bank Limited,11003009,Kaski,Pokhara Branch,1996-12-30,8,pokhara,pokhara,83.986254,28.2181
9,Commercial Bank (Class A),Nabil Bank Limited,11003010,Rupandehi,Bhairahawa Branch,2001-08-08,13,siddharthanagar,siddharthanagar,83.36678,27.61456
10,Commercial Bank (Class A),Nabil Bank Limited,11003011,Banke,Nepalgunj Branch,2001-11-05,2,janaki,janaki,81.107625,28.559786
11,Commercial Bank (Class A),Nabil Bank Limited,11003012,Kathmandu,Maharajgunj Branch,2005-04-15,3,kathmandu,kathmandu,85.312068,27.698732
12,Commercial Bank (Class A),Nabil Bank Limited,11003013,Sunsari,Dharan Branch,2004-01-15,5,dharan,dharan,87.2828314,26.8166476
13,Commercial Bank (Class A),Nabil Bank Limited,11003014,Kathmandu,Tindhara,2010-11-14,1,kathmandu,kathmandu,85.312068,27.698732
14,Commercial Bank (Class A),Nabil Bank Limited,11003015,Kathmandu,Tripureshwar Branch,1984-07-12,11,kathmandu,kathmandu,85.312068,27.698732
15,Commercial Bank (Class A),Nabil Bank Limited,11003016,Lalitpur,Lalitpur Branch,1993-02-01,3,lalitpur,lalitpur,85.31678,27.67655
16,Commercial Bank (Class A),Nabil Bank Limited,11003017,Jhapa,Birtamod Branch,2007-11-07,4,birtamod,birtamod,87.9887249,26.6254248
17,Commercial Bank (Class A),Nabil Bank Limited,11003018,Jhapa,Damak Branch,2007-10-16,6,damak,damak,87.70319,26.66924
18,Commercial Bank (Class A),Nabil Bank Limited,11003019,Makwanpur,Hetauda Branch,2007-11-07,4,hetauda,hetauda,85.038319,27.433546
19,Commercial Bank (Class A),Nabil Bank Limited,11003020,Chitawan,Narayangadh Branch,2007-10-30,3,bharatpur,bharatpur,84.428535,27.689185
20,Commercial Bank (Class A),Nabil Bank Limited,11003021,Dang,Tulshipur Branch,2007-11-05,5,tulsipur,tulsipur,82.298305,28.1311
21,Commercial Bank (Class A),Nabil Bank Limited,11003022,Dang,Ghorahi Branch,2007-11-02,11,ghorahi,ghorahi,82.48189,28.03517
22,Commercial Bank (Class A),Nabil Bank Limited,11003023,Baglung,Baglung Branch,2007-09-18,2,baglung,baglung,83.5941,28.269887
23,Commercial Bank (Class A),Nabil Bank Limited,11003024,Kailali,Boradandi Branch,2007-09-26,3,dhangadhi,dhangadhi,80.58458,28.707
24,Commercial Bank (Class A),Rastriya Banijya Bank,11002102,Ramechhap,Ramechhap,1969-02-23,8,ramechhap,ramechhap,86.082332,27.323034
25,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005001,Kathmandu,Head office,1987-01-01,3,kathmandu,kathmandu,85.312068,27.698732
26,Commercial Bank (Class A),Nabil Bank Limited,11003025,Kanchanpur,Mahendranagar Branch,2007-10-01,4,bhimdatta,bhimdatta,80.179571,28.968884
27,Commercial Bank (Class A),Nabil Bank Limited,11003026,Kathmandu,New Baneshwar Branch,2009-05-15,10,kathmandu,kathmandu,85.312068,27.698732
28,Commercial Bank (Class A),Nabil Bank Limited,11003027,Kathmandu,Halchowk Branch,2009-05-15,15,nagarjun,nagarjun,85.26863,27.717836
29,Commercial Bank (Class A),Nabil Bank Limited,11003028,Kathmandu,Thamel Branch,2009-05-15,17,kathmandu,kathmandu,85.312068,27.698732
30,Commercial Bank (Class A),Nabil Bank Limited,11003029,Bhaktapur,Kaushaltar Branch,2009-05-15,15,madhyapur thimi,madhyapur thimi,85.389758,27.683695
31,Commercial Bank (Class A),Nabil Bank Limited,11003030,Kathmandu,Chabahil Branch,2009-11-09,7,kathmandu,kathmandu,85.312068,27.698732
32,Commercial Bank (Class A),Nabil Bank Limited,11003031,Kathmandu,Maitidevi Branch,2009-11-12,29,kathmandu,kathmandu,85.312068,27.698732
33,Commercial Bank (Class A),Nabil Bank Limited,11003032,Kathmandu,Balaju Branch,2009-11-26,16,kathmandu,kathmandu,85.312068,27.698732
34,Commercial Bank (Class A),Nabil Bank Limited,11003033,Kathmandu,Kuleshwar Branch,2009-12-24,14,kathmandu,kathmandu,85.312068,27.698732
35,Commercial Bank (Class A),Nabil Bank Limited,11003034,Lalitpur,Satdobato Branch,2009-11-23,15,lalitpur,lalitpur,85.31678,27.67655
36,Commercial Bank (Class A),Nabil Bank Limited,11003035,Dolakha,Charikot Branch,2010-06-03,10,bhimeshwor,bhimeshwor,86.049308,27.672376
37,Commercial Bank (Class A),Rastriya Banijya Bank,11002103,Dhading,Dhading,1975-08-26,3,nilkhantha,nilkhantha,84.895955,27.911872
38,Commercial Bank (Class A),Rastriya Banijya Bank,11002104,Kavrepalanchok,Dhulikhel,1976-03-14,4,dhulikhel,dhulikhel,85.556965,27.615401
39,Commercial Bank (Class A),Rastriya Banijya Bank,11002105,Dhading,Gajuri,1976-09-12,1,gajuri,gajuri,84.882807,27.804517
40,Commercial Bank (Class A),Rastriya Banijya Bank,11002106,Sindhuli,Sindhuli,1976-07-05,6,kamalamai,kamalamai,85.91222,27.21024
41,Commercial Bank (Class A),Rastriya Banijya Bank,11002108,Dhading,Khanikhola,1976-09-12,7,dhunibenshi,dhunibenshi,85.160235,27.717402
42,Commercial Bank (Class A),Rastriya Banijya Bank,11002109,Kathmandu,Main Branch office,1966-01-23,22,kathmandu,kathmandu,85.312068,27.698732
43,Commercial Bank (Class A),Rastriya Banijya Bank,11002110,Kathmandu,Thamel,1973-12-16,26,kathmandu,kathmandu,85.312068,27.698732
44,Commercial Bank (Class A),Rastriya Banijya Bank,11002111,Bhaktapur,Thimi,1974-10-28,7,madhyapur thimi,madhyapur thimi,85.389758,27.683695
45,Commercial Bank (Class A),Rastriya Banijya Bank,11002112,Lalitpur,Lalitpur,1976-07-13,19,lalitpur,lalitpur,85.31678,27.67655
46,Commercial Bank (Class A),Rastriya Banijya Bank,11002113,Kathmandu,Putalisadak,1968-03-19,29,kathmandu,kathmandu,85.312068,27.698732
47,Commercial Bank (Class A),Rastriya Banijya Bank,11002114,Lalitpur,Pulchowk,1974-03-20,3,lalitpur,lalitpur,85.31678,27.67655
48,Commercial Bank (Class A),Rastriya Banijya Bank,11002115,Kathmandu,Maharajgunj,1976-07-10,3,kathmandu,kathmandu,85.312068,27.698732
49,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005002,Kathmandu,Lazimpat Branch,2006-07-16,2,kathmandu,kathmandu,85.312068,27.698732
50,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005004,Lalitpur,UN,2001-01-01,3,lalitpur,lalitpur,85.31678,27.67655
51,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005005,Morang,Biratnagar Branch,1992-04-01,11,biratnagar,biratnagar,87.2823671,26.4653491
52,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005006,Lalitpur,Lalitpur Branch,1992-10-01,5,lalitpur,lalitpur,85.31678,27.67655
53,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005010,Sunsari,Dharan Branch,2005-06-01,7,dharan,dharan,87.2828314,26.8166476
54,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005011,Banke,Nepalgunj Branch,2007-03-06,10,nepalganj,nepalganj,81.618447,28.06056
55,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005012,Rupandehi,Butwal Branch,2005-10-05,9,butwal,butwal,83.464738,27.70825
56,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005013,Parsa,Birgunj Branch,2008-11-10,10,birgunj,birgunj,84.87029,27.01207
57,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005014,Kathmandu,New Road Branch,2009-11-16,23,kathmandu,kathmandu,85.312068,27.698732
58,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005015,Kathmandu,Boudha Branch,2015-08-01,6,kathmandu,kathmandu,85.312068,27.698732
59,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005016,Kaski,New Road Branch (Pokhara),2007-07-01,8,pokhara,pokhara,83.986254,28.2181
60,Commercial Bank (Class A),Nabil Bank Limited,11003036,Sankhuwasabha,Khandbari Branch,2010-05-17,1,khandabari,khandabari,87.20611,27.38629
61,Commercial Bank (Class A),Nabil Bank Limited,11003037,Kavrepalanchok,Dhulikhel Branch,2010-07-18,7,dhulikhel,dhulikhel,85.556965,27.615401
62,Commercial Bank (Class A),Nabil Bank Limited,11003038,Gorkha,Gorkha Branch,2010-07-21,1,gorkha,gorkha,84.623366,27.986796
63,Commercial Bank (Class A),Nabil Bank Limited,11003039,Lamjung,Besisahar Branch,2010-07-22,1,bensi shahar,bensi shahar,84.38139,28.22399
64,Commercial Bank (Class A),Nabil Bank Limited,11003040,Jhapa,Chandragadhi Branch,2010-07-25,10,bhadrapur,bhadrapur,88.09537,26.54473
65,Commercial Bank (Class A),Nabil Bank Limited,11003041,Kathmandu,Kantipath Branch,1985-06-28,1,kathmandu,kathmandu,85.312068,27.698732
66,Commercial Bank (Class A),Nabil Bank Limited,11003042,Kathmandu,Dhapashi Branch,2010-11-18,3,kathmandu,kathmandu,85.312068,27.698732
67,Commercial Bank (Class A),Nabil Bank Limited,11003043,Kathmandu,Anamnagar Branch,2010-11-18,29,kathmandu,kathmandu,85.312068,27.698732
68,Commercial Bank (Class A),Nabil Bank Limited,11003044,Kathmandu,Sinamangal Branch,2010-11-18,9,kathmandu,kathmandu,85.312068,27.698732
69,Commercial Bank (Class A),Nabil Bank Limited,11003045,Lalitpur,Gwarko Branch,2010-11-18,8,lalitpur,lalitpur,85.31678,27.67655
70,Commercial Bank (Class A),Nabil Bank Limited,11003046,Kathmandu,Attarkhel Branch,2010-11-18,6,gokarneshwor,gokarneshwor,85.376088,27.725224
71,Commercial Bank (Class A),Nabil Bank Limited,11003047,Kaski,Lakeside Branch,2001-09-26,6,pokhara,pokhara,83.986254,28.2181
72,Commercial Bank (Class A),Rastriya Banijya Bank,11002116,Kathmandu,Naxal,1974-08-02,5,kathmandu,kathmandu,85.312068,27.698732
73,Commercial Bank (Class A),Rastriya Banijya Bank,11002117,Kathmandu,Kirtipur,1976-01-24,9,kirtipur,kirtipur,85.272651,27.682113
74,Commercial Bank (Class A),Rastriya Banijya Bank,11002119,Kathmandu,Balaju,1977-05-23,16,kathmandu,kathmandu,85.312068,27.698732
75,Commercial Bank (Class A),Rastriya Banijya Bank,11002121,Rautahat,Gaur,1966-07-31,8,gaur,gaur,85.27427,26.76238
76,Commercial Bank (Class A),Rastriya Banijya Bank,11002122,Dhanusa,Janakpur,1968-12-17,2,janakpurdham,janakpurdham,85.9317945,26.730077
77,Commercial Bank (Class A),Rastriya Banijya Bank,11002124,Dhanusa,Dhanusha Mahendranagar,1976-06-05,1,chhireshwornath,chhireshwornath,85.96333,26.86273
78,Commercial Bank (Class A),Rastriya Banijya Bank,11002125,Parsa,Birgunj,1966-02-16,10,birgunj,birgunj,84.87029,27.01207
79,Commercial Bank (Class A),Rastriya Banijya Bank,11002126,Bara,Kalaiya,1966-07-25,6,kalaiya,kalaiya,85.00194,27.02837
80,Commercial Bank (Class A),Rastriya Banijya Bank,11002127,Mahottari,Jaleshwor,1969-02-23,2,jaleshwor,jaleshwor,85.79778,26.652446
81,Commercial Bank (Class A),Rastriya Banijya Bank,11002128,Sarlahi,Lalbandi,1976-03-28,7,lalbandi,lalbandi,85.63419,27.05141
82,Commercial Bank (Class A),Rastriya Banijya Bank,11002129,Bara,Nijgadh,1975-01-11,8,nijagadh,nijagadh,85.18967,27.17975
83,Commercial Bank (Class A),Rastriya Banijya Bank,11002130,Makwanpur,Hetauda,1977-04-23,10,hetauda,hetauda,85.038319,27.433546
84,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005017,Chitawan,Narayangarh Branch,2009-01-23,10,bharatpur,bharatpur,84.428535,27.689185
85,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005020,Kaski,"British Gurkhas, PPO",2002-05-16,16,pokhara,pokhara,83.986254,28.2181
86,Commercial Bank (Class A),Standard Chartered Bank Nepal Limited,11005021,Kathmandu,US Embassy Counter,2014-08-20,3,kathmandu,kathmandu,85.312068,27.698732
87,Commercial Bank (Class A),Nepal Bank Limited,11001001,Kathmandu,Head Office,1994-07-30,17,kathmandu,kathmandu,85.312068,27.698732
88,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004001,Kathmandu,HEAD OFFICE,1986-02-04,1,kathmandu,kathmandu,85.312068,27.698732
89,Commercial Bank (Class A),Nabil Bank Limited,11003052,Dhanusa,Janakpur,2011-12-14,5,janakpurdham,janakpurdham,85.9317945,26.730077
90,Commercial Bank (Class A),Nabil Bank Limited,11003053,Tanahu,Damauli,2015-04-05,10,byas,byas,84.267222,27.975344
91,Commercial Bank (Class A),Nabil Bank Limited,11003053,Tanahu,Damauli,2015-04-05,10,byas,byas,81.063151,29.528845
92,Commercial Bank (Class A),Nabil Bank Limited,11003054,Bara,Simara,2015-04-05,1,jitpur simara,jitpur simara,84.95603,27.12989
93,Commercial Bank (Class A),Nabil Bank Limited,11003055,Nawalparasi West,Sunwal,2015-04-05,4,sunawal,sunawal,83.639127,27.60695
94,Commercial Bank (Class A),Nabil Bank Limited,11003056,Banke,Kohalpur,2015-04-05,11,kohalpur,kohalpur,81.689699,28.20033
95,Commercial Bank (Class A),Nabil Bank Limited,11003057,Surkhet,Surkhet,2017-12-01,6,birendranagar,birendranagar,81.6208,28.59019
96,Commercial Bank (Class A),Nabil Bank Limited,11003058,Kailali,Tikapur,2017-12-01,1,tikapur,tikapur,81.120012,28.532507
97,Commercial Bank (Class A),Rastriya Banijya Bank,11002131,Chitawan,Bharatpur,1977-05-14,10,bharatpur,bharatpur,84.428535,27.689185
98,Commercial Bank (Class A),Rastriya Banijya Bank,11002133,Parsa,Shreepur,1978-06-15,13,birgunj,birgunj,84.87029,27.01207
99,Commercial Bank (Class A),Rastriya Banijya Bank,11002134,Kathmandu,Gaushalla,1978-06-16,9,kathmandu,kathmandu,85.312068,27.698732
100,Commercial Bank (Class A),Rastriya Banijya Bank,11002136,Kathmandu,Bhotahiti,1978-06-24,27,kathmandu,kathmandu,85.312068,27.698732
101,Commercial Bank (Class A),Rastriya Banijya Bank,11002137,Bhaktapur,Suryabinayak,1979-08-20,8,bhaktapur,bhaktapur,85.436882,27.677396
102,Commercial Bank (Class A),Rastriya Banijya Bank,11002142,Kathmandu,Baneshwor,1980-12-28,10,kathmandu,kathmandu,85.312068,27.698732
103,Commercial Bank (Class A),Rastriya Banijya Bank,11002143,Kathmandu,Thapathali,1981-02-22,11,kathmandu,kathmandu,85.312068,27.698732
104,Commercial Bank (Class A),Rastriya Banijya Bank,11002148,Sindhuli,Ratamata,2011-12-11,3,sunkoshi,sunkoshi,86.38331,27.28537
105,Commercial Bank (Class A),Rastriya Banijya Bank,11002148,Sindhuli,Ratamata,2011-12-11,3,sunkoshi,sunkoshi,85.85061556,27.75541528
106,Commercial Bank (Class A),Rastriya Banijya Bank,11002148,Sindhuli,Ratamata,2011-12-11,3,sunkoshi,sunkoshi,85.900485,27.406635
107,Commercial Bank (Class A),Rastriya Banijya Bank,11002149,Nuwakot,Kharanitar,1982-10-10,3,tadi,tadi,85.311048,27.930966
108,Commercial Bank (Class A),Nepal Bank Limited,11001002,Kathmandu,Kathmandu Banking Office,1994-07-30,22,kathmandu,kathmandu,85.312068,27.698732
109,Commercial Bank (Class A),Nepal Bank Limited,11001004,Banke,C.O. Nepalgunj,1998-12-21,13,nepalganj,nepalganj,81.618447,28.06056
110,Commercial Bank (Class A),Nepal Bank Limited,11001005,Jhapa,Bhadrapur,1999-02-21,3,bhadrapur,bhadrapur,88.09537,26.54473
111,Commercial Bank (Class A),Nepal Bank Limited,11001006,Rautahat,Gaur,1999-08-27,1,gaur,gaur,85.27427,26.76238
112,Commercial Bank (Class A),Nepal Bank Limited,11001008,Dhanusa,C.O. Janakpur,1999-10-29,1,janakpurdham,janakpurdham,85.9317945,26.730077
113,Commercial Bank (Class A),Nepal Bank Limited,11001009,Kaski,C.O. Pokhara,1955-04-14,3,pokhara,pokhara,83.986254,28.2181
114,Commercial Bank (Class A),Nepal Bank Limited,11001010,Morang,"M.A, Biratnagar",2012-06-10,16,biratnagar,biratnagar,87.2823671,26.4653491
115,Commercial Bank (Class A),Nepal Bank Limited,11001011,Rupandehi,Shidharthanagar,1957-01-22,8,siddharthanagar,siddharthanagar,83.36678,27.61456
116,Commercial Bank (Class A),Nepal Bank Limited,11001013,Saptari,Rajbiraj,1957-01-10,3,rajbiraj,rajbiraj,86.74786,26.54039
117,Commercial Bank (Class A),Nepal Bank Limited,11001014,Kapilbastu,Krishannagar,1958-01-08,2,krishnanagar,krishnanagar,82.79469,27.50846
118,Commercial Bank (Class A),Nepal Bank Limited,11001015,Kavrepalanchok,Banepa,1957-10-27,7,banepa,banepa,85.52038,27.62995
119,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004002,Bhaktapur,SEEPADOLE BRANCH,2000-11-01,8,suryabinayak,suryabinayak,85.402867,27.667326
120,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004003,Parsa,BIRGUNJ BRANCH,1994-06-08,3,birgunj,birgunj,84.87029,27.01207
121,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004004,Lalitpur,PULCHOWK BRANCH,2000-07-24,3,lalitpur,lalitpur,85.31678,27.67655
122,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004005,Kavrepalanchok,BANEPA BRANCH,2000-10-30,7,banepa,banepa,85.52038,27.62995
123,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004006,Bara,JEETPUR BRANCH,1996-10-30,7,jitpur simara,jitpur simara,84.95603,27.12989
124,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004007,Kathmandu,NEW ROAD BRANCH,2003-01-31,23,kathmandu,kathmandu,85.312068,27.698732
125,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004008,Morang,BIRATNAGAR BRANCH,2003-01-22,7,biratnagar,biratnagar,87.2823671,26.4653491
126,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004009,Rupandehi,BUTWAL BRANCH,2003-01-27,6,butwal,butwal,83.464738,27.70825
127,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004010,Rupandehi,BHAIRAHAWA BRANCH,2003-05-15,12,siddharthanagar,siddharthanagar,83.36678,27.61456
128,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004011,Kaski,POKHARA BRANCH,2003-10-14,4,pokhara,pokhara,83.986254,28.2181
129,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004012,Kathmandu,PUTALISADAK BRANCH,2004-01-07,30,kathmandu,kathmandu,85.312068,27.698732
130,Commercial Bank (Class A),Nabil Bank Limited,11003059,Kaski,Taalchok,2017-12-01,27,pokhara,pokhara,83.986254,28.2181
131,Commercial Bank (Class A),Nabil Bank Limited,11003060,Kaski,Bagar,2017-12-01,1,pokhara,pokhara,83.986254,28.2181
132,Commercial Bank (Class A),Nabil Bank Limited,11003061,Kaski,Amarsingh Chowk,2017-12-01,12,pokhara,pokhara,83.986254,28.2181
133,Commercial Bank (Class A),Nabil Bank Limited,11003062,Sarlahi,Hariwan,2017-12-01,11,hariwan,hariwan,85.55639,27.08738
134,Commercial Bank (Class A),Nabil Bank Limited,11003063,Chitawan,Taandi,2017-12-01,1,ratnanagar,ratnanagar,84.507994,27.623502
135,Commercial Bank (Class A),Nabil Bank Limited,11003064,Dang,Lamahi,2017-12-01,5,lamahi,lamahi,82.52623,27.86831
136,Commercial Bank (Class A),Nabil Bank Limited,11003065,Mahottari,Bardibas,2017-12-01,1,bardibas,bardibas,85.88814,26.9863
137,Commercial Bank (Class A),Nabil Bank Limited,11003066,Siraha,Lahan,2017-12-01,4,lahan,lahan,86.48085,26.72143
138,Commercial Bank (Class A),Nabil Bank Limited,11003067,Dadeldhura,Alitaal Branch ,2018-05-14,8,aalital,aalital,80.48844,29.12726
139,Commercial Bank (Class A),Nabil Bank Limited,11003068,Surkhet,Barah Taal Branch,2018-05-14,5,barahatal,barahatal,81.5049867,28.7134398
140,Commercial Bank (Class A),Nabil Bank Limited,11003069,Bajhang,Bittadchir Branch ,2018-05-14,4,bitthadchir,bitthadchir,80.818834,29.528688
141,Commercial Bank (Class A),Nabil Bank Limited,11003070,Rupandehi,Sammarimai,2018-05-14,6,sammarimai,sammarimai,83.300596,27.3908
142,Commercial Bank (Class A),Rastriya Banijya Bank,11002150,Chitawan,Parsadhap,2012-01-28,27,bharatpur,bharatpur,84.428535,27.689185
143,Commercial Bank (Class A),Rastriya Banijya Bank,11002152,Dhanusa,Piradichowk,1983-07-14,8,janakpurdham,janakpurdham,85.9317945,26.730077
144,Commercial Bank (Class A),Rastriya Banijya Bank,11002155,Kathmandu,Maitidevi,1984-07-15,30,kathmandu,kathmandu,85.312068,27.698732
145,Commercial Bank (Class A),Rastriya Banijya Bank,11002158,Mahottari,Bardibas,1985-10-16,1,bardibas,bardibas,85.88814,26.9863
146,Commercial Bank (Class A),Rastriya Banijya Bank,11002161,Dolakha,Charikote,1986-09-21,10,bhimeshwor,bhimeshwor,86.049308,27.672376
147,Commercial Bank (Class A),Rastriya Banijya Bank,11002162,Chitawan,Narayanghat,1986-09-24,4,bharatpur,bharatpur,84.428535,27.689185
148,Commercial Bank (Class A),Rastriya Banijya Bank,11002166,Kathmandu,Budhanilakhantha,1988-12-19,3,budhanilkhantha,budhanilkhantha,85.348804,27.755046
149,Commercial Bank (Class A),Rastriya Banijya Bank,11002168,Ramechhap,Manthali,1989-12-16,1,manthali,manthali,86.058534,27.382793
150,Commercial Bank (Class A),Rastriya Banijya Bank,11002169,Kathmandu,Tribhuwan International Airport,1990-01-23,9,kathmandu,kathmandu,85.312068,27.698732
151,Commercial Bank (Class A),Rastriya Banijya Bank,11002170,Kathmandu,Teku,1988-10-05,12,kathmandu,kathmandu,85.312068,27.698732
152,Commercial Bank (Class A),Rastriya Banijya Bank,11002171,Rautahat,Garudabazar,1993-11-25,2,garuda,garuda,85.30607,26.94713
153,Commercial Bank (Class A),Rastriya Banijya Bank,11002173,Bhaktapur,Sanothimi,1996-11-03,17,madhyapur thimi,madhyapur thimi,85.389758,27.683695
154,Commercial Bank (Class A),Rastriya Banijya Bank,11002175,Kathmandu,Kalanki,1998-06-04,14,kathmandu,kathmandu,85.312068,27.698732
155,Commercial Bank (Class A),Nepal Bank Limited,11001016,Sunsari,Dharan,1959-01-23,1,dharan,dharan,87.2828314,26.8166476
156,Commercial Bank (Class A),Nepal Bank Limited,11001017,Palpa,Palpa Tansen,1960-04-13,4,tansen,tansen,83.548699,27.8658
157,Commercial Bank (Class A),Nepal Bank Limited,11001018,Lalitpur,Lalitpur,1960-06-18,16,lalitpur,lalitpur,85.31678,27.67655
158,Commercial Bank (Class A),Nepal Bank Limited,11001019,Bhaktapur,Bhaktapur,1960-09-01,10,bhaktapur,bhaktapur,85.436882,27.677396
159,Commercial Bank (Class A),Nepal Bank Limited,11001020,Kathmandu,Bhedasing,1960-12-23,25,kathmandu,kathmandu,85.312068,27.698732
160,Commercial Bank (Class A),Nepal Bank Limited,11001021,Bara,Kalaiya,1960-05-23,5,kalaiya,kalaiya,85.00194,27.02837
161,Commercial Bank (Class A),Nepal Bank Limited,11001022,Baglung,Baglung,1960-07-25,3,baglung,baglung,83.5941,28.269887
162,Commercial Bank (Class A),Nepal Bank Limited,11001024,Chitawan,Narayangadh,1961-04-03,3,bharatpur,bharatpur,84.428535,27.689185
163,Commercial Bank (Class A),Nepal Bank Limited,11001026,Nuwakot,Trisuli,1962-03-03,2,bidur,bidur,85.14125,27.91147
164,Commercial Bank (Class A),Nepal Bank Limited,11001027,Dang,Dang,1963-01-12,14,ghorahi,ghorahi,82.48189,28.03517
165,Commercial Bank (Class A),Nepal Bank Limited,11001028,Bardiya,Rajapur,1963-03-25,4,rajapur,rajapur,81.0919034,28.4300606
166,Commercial Bank (Class A),Nepal Bank Limited,11001029,Sarlahi,Malangawa,1963-04-22,8,malangawa,malangawa,85.55733,26.85539
167,Commercial Bank (Class A),Nepal Bank Limited,11001031,Morang,Rangeli,2000-01-05,7,rangeli,rangeli,87.487089,26.461816
168,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004013,Chitawan,NARAYANGARH BRANCH,2005-11-16,4,bharatpur,bharatpur,84.428535,27.689185
169,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004014,Dhanusa,JANAKPUR BRANCH,2006-11-08,11,janakpurdham,janakpurdham,85.9317945,26.730077
170,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004015,Banke,NEPALGUNJ BRANCH,2007-04-08,1,nepalganj,nepalganj,81.618447,28.06056
171,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004016,Kathmandu,THAMEL BRANCH,2007-06-07,16,kathmandu,kathmandu,85.312068,27.698732
172,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004017,Kathmandu,KALIMATI BRANCH,2007-10-12,14,kathmandu,kathmandu,85.312068,27.698732
173,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004018,Jhapa,BIRTAMOD BRANCH,2008-01-28,4,birtamod,birtamod,87.9887249,26.6254248
174,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004019,Kathmandu,BATTISPUTALI BRANCH,2008-05-14,9,kathmandu,kathmandu,85.312068,27.698732
175,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004020,Kailali,DHANGADI BRANCH,2008-08-17,4,dhangadhi,dhangadhi,80.58458,28.707
176,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004021,Kathmandu,GONGABU BRANCH,2008-08-18,26,kathmandu,kathmandu,85.312068,27.698732
177,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004022,Surkhet,SURKHET BRANCH,2008-10-19,6,birendranagar,birendranagar,81.6208,28.59019
178,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004023,Jumla,JUMLA BRANCH,2009-01-01,5,chandannath,chandannath,82.17953,29.27339
179,Commercial Bank (Class A),Nepal Investment Mega Bank Limited,11004024,Kathmandu,BOUDHA BRANCH,2009-01-08,6,kathmandu,kathmandu,85.312068,27.698732
180,Commercial Bank (Class A),Himalayan Bank Limited,11006000,Kathmandu,Head Office,1993-01-18,29,kathmandu,kathmandu,85.312068,27.698732
181,Commercial Bank (Class A),Nabil Bank Limited,11003071,Jumla,Tila Branch ,2018-05-14,1,tila,tila,81.9547422,29.2296872
