,type,name,code,district,branch_name,date,ward,local_level,Name_Of_Palika_English,X,Y
5918,Microfinance Institutions (Class D),Meromicrofinance Laghubitta Bittiya Sanatha Ltd.,14033150,Terhathum,SANKRANTI BAZAR BRANCH,2021-09-17,3,aatharai,aatharai,87.65169,27.220782
5919,Microfinance Institutions (Class D),Meromicrofinance Laghubitta Bittiya Sanatha Ltd.,14033151,Bhojpur,PHERIBAZAR BRANCH,2021-09-17,6,arun,arun,87.15652,27.210895
5920,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066046,Morang,Urlabari Branch,2020-09-22,4,urlabari,urlabari,87.6244013,26.6641041
5921,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066047,Morang,Biratchowk Branch,2020-09-22,8,sundarharaicha,sundarharaicha,87.3464195,26.6600984
5922,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066048,Ilam,Ilam Branch,2020-09-22,7,ilam,ilam,87.9269554,26.9071523
5923,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066049,Panchthar,Phidim Branch,2020-09-22,1,phidim,phidim,87.76611,27.145827
5924,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066050,Panchthar,Tharpu Branch,2020-09-22,4,yangwarak,yangwarak,87.83923,27.27293
5925,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066051,Sunsari,Bharoul Branch,2020-09-22,5,barahachhetra,barahachhetra,87.13501,26.748305
5926,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066052,Morang,Amardaha Branch,2020-09-22,2,sunwarshi,sunwarshi,87.54856,26.453
5927,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066053,Taplejung,Taplejung Branch,2020-09-22,5,phungling,phungling,87.67198,27.35843
5928,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066054,Dhankuta,Pahkhribas Branch,2020-09-22,4,pakhribas,pakhribas,87.2742,27.05801
5929,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066055,Ilam,Danabari Branch,2020-09-22,2,mai,mai,87.88184,26.76074
5930,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076033,Rupandehi,Branch Butwal,2018-03-26,11,butwal,butwal,83.464738,27.70825
5931,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076034,Kavrepalanchok,Branch Sanga,2018-10-16,13,banepa,banepa,85.52038,27.62995
5932,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076035,Tanahu,Branch Devghat ,2018-11-23,5,devghat,devghat,84.43273,27.749173
5933,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076036,Lamjung,Branch Bhoteoodar ,2018-11-24,9,sundarbazar,sundarbazar,84.4107413,28.12821761
5934,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076037,Nuwakot,Branch Dhikure ,2018-11-17,1,likhu,likhu,86.24067,27.377722
5935,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076037,Nuwakot,Branch Dhikure ,2018-11-17,1,likhu,likhu,85.23727,27.89045
5936,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076038,Gorkha,Branch Palungtar ,2018-11-25,5,palungtar,palungtar,84.487682,28.051419
5937,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076039,Surkhet,Branch Babiyachaur,2018-11-17,4,panchapuri,panchapuri,81.387,28.792
5938,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076040,Dhanusa,Branch Nagarain,2018-11-17,7,nagarain,nagarain,85.9287543,26.6418347
5939,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076041,Kavrepalanchok,Head Office,2018-10-18,13,banepa,banepa,85.52038,27.62995
5940,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076042,Siraha,Branch Siraha,2019-02-13,2,siraha,siraha,86.2051834,"26.6552531,"
5941,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076043,Chitawan,Supervision and Monitoring-Tandi,2017-06-04,1,ratnanagar,ratnanagar,84.507994,27.623502
5942,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064036,Nawalparasi West,Sunawal Branch,2021-01-06,2,sunawal,sunawal,83.639127,27.60695
5943,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064037,Rupandehi,Patkhauli Branch,2021-01-06,5,om satiya,om satiya,83.485866,27.54432
5944,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064038,Banke,Jamuni Branch,2021-01-06,6,narainapur,narainapur,81.847229,27.8984
5945,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064039,Bardiya,Deudakala Branch,2021-09-08,7,bansgadhi,bansgadhi,81.517583,28.24244
5946,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064040,Banke,Nepalgunj Branch,2021-09-16,1,nepalganj,nepalganj,81.618447,28.06056
5947,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064041,Bardiya,Gulariya Branch,2022-08-28,8,gulariya,gulariya,81.34356,28.20346
5948,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061028,Kapilbastu,Gorusinge ,2019-12-20,2,buddhabhumi,buddhabhumi,83.00662,27.64897
5949,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061029,Kapilbastu,Odari ,2019-12-20,11,banganga,banganga,83.170978,27.66355
5950,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061030,Rupandehi,Bansgadhi Branch,2019-12-20,8,sainamaina,sainamaina,82.32541,27.69034
5951,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061031,Rupandehi,Manpakadi ,2019-12-20,5,suddhodhan,suddhodhan,83.21,27.51
5952,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061032,Nawalparasi West,Bhutaha ,2019-12-20,9,bardaghat,bardaghat,83.774277,27.55056
5953,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061033,Arghakhanchi,Thulapokhara ,2019-12-20,6,chhatradev,chhatradev,83.223919,28.00773
5954,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061034,Kapilbastu,Bhatani ,2019-12-20,6,bijayanagar,bijayanagar,82.7729838,27.6050407
5955,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061035,Nawalparasi West,Asnaiya Branch,2019-12-20,7,sunawal,sunawal,83.639127,27.60695
5956,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061037,Rupandehi,CharNumber Branch,2019-12-20,8,tilottama,tilottama,83.4682608,27.6284907
5957,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061038,Gulmi,Khairani Branch,2019-12-20,5,satyawoti,satyawoti,83.436286,28.01995
5958,Microfinance Institutions (Class D),Naya Sarathi Laghubitta Bittiya Sanstha Limited,14061039,Kapilbastu,Lawani ,2019-12-20,3,suddhodhan,suddhodhan,83.21,27.51
5959,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060002,Jajarkot,Khalanga,2017-12-17,4,bheri malika,bheri malika,82.20426,28.75532
5960,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060003,Jajarkot,Thalah,2018-05-01,5,chhedagad,chhedagad,82.046467,28.68993
5961,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060004,Rukum West,Chaurjahari,2018-05-08,1,chaurjahari,chaurjahari,82.210009,28.65357
5962,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060005,Rupandehi,Kotihawa,2018-05-11,15,tilottama,tilottama,83.4682608,27.6284907
5963,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060006,Salyan,Sallibazar,2018-05-10,1,banagad kupinde,banagad kupinde,82.02875,28.51786
5964,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060007,Kapilbastu,Lawani,2018-05-13,3,suddhodhan,suddhodhan,83.21,27.51
5965,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060008,Nawalparasi West,Bhutaha,2018-05-14,10,bardaghat,bardaghat,83.774277,27.55056
5966,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060009,Kapilbastu,Imiliya,2018-05-13,9,buddhabhumi,buddhabhumi,83.00662,27.64897
5967,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060010,Rukum West,Simli,2018-05-14,9,sanibheri,sanibheri,82.34489,28.64916
5968,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060011,Surkhet,Chhinchu,2018-05-15,12,bheriganga,bheriganga,81.7492129,28.4706768
5969,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060012,Banke,Chappargaudi,2018-05-21,12,kohalpur,kohalpur,81.689699,28.20033
5970,Microfinance Institutions (Class D),NIC Asia Laghubitta Bittiya Sanstha Ltd.,14060013,Rupandehi,Ramapur,2018-05-25,8,sainamaina,sainamaina,82.32541,27.69034
5971,Commercial Bank (Class A),NIC ASIA Bank Limited,11012629,Kanchanpur,Bedkot Municipality Extension Counter,2022-04-08,6,bedkot,bedkot,80.25087,28.95143
5972,Commercial Bank (Class A),NIC ASIA Bank Limited,11012630,Nuwakot,Panchakanya,2022-04-24,3,panchakanya,panchakanya,85.333804,27.884416
5973,Commercial Bank (Class A),NIC ASIA Bank Limited,11012631,Rupandehi,Siyari Rural Municipality Extension Counter,2022-10-12,3,siyari,siyari,83.3993933,27.566221
5974,Commercial Bank (Class A),NIC ASIA Bank Limited,11012632,Banke,Janaki Rural Municipality Extension Counter,2022-11-30,3,janaki,janaki,81.107625,28.559786
5975,Commercial Bank (Class A),NIC ASIA Bank Limited,11012633,Tanahu,Suklagandaki Municipality Extension Counter,2022-12-06,4,shuklagandaki,shuklagandaki,84.074781,28.050786
5976,Commercial Bank (Class A),NIC ASIA Bank Limited,11012634,Lalitpur,Lele Extension Counter,2023-01-01,5,godawari,godawari,85.326869,27.604159
5977,Commercial Bank (Class A),NIC ASIA Bank Limited,11012634,Lalitpur,Lele Extension Counter,2023-01-01,5,godawari,godawari,80.55223,28.804124
5978,Commercial Bank (Class A),NIC ASIA Bank Limited,11012635,Rupandehi,Kanchan Rural Municipality Extension Counter,2023-01-24,2,kanchan,kanchan,83.27451,27.64535
5979,Commercial Bank (Class A),NIC ASIA Bank Limited,11012636,Lalitpur,Chhampi Extension Counter,2023-03-14,9,godawari,godawari,85.326869,27.604159
5980,Commercial Bank (Class A),NIC ASIA Bank Limited,11012636,Lalitpur,Chhampi Extension Counter,2023-03-14,9,godawari,godawari,80.55223,28.804124
